number_of_employees,tech_company,mental_health_benefits,mental_health_coverage_awareness,mental_health_official_communication,mental_health_resources,mental_health_anonymity,asking_for_leave_for_mental_health,discussing_mental_health_with_employer,discussing_physical_health_with_employer,discussing_mental_health_with_coworker,discussing_mental_health_with_supervisor,physical_same_mental,neg_consequences_open_mental_health,previous_employer,previous_employer_mental_health_benefits,previous_employer_mental_health_coverage_awareness,previous_employer_mental_health_official_communication,previous_employer_mental_health_resources,previous_employer_mental_health_anonymity,discussing_mental_health_with_previous_employer,discussing_physical_health_with_previous_employer,reveal_mental_diagnoses_previous_coworkers,reveal_mental_diagnoses_previous_supervisor,previous_employer_physical_same_mental,previous_employer_neg_consequences_open_mental_health,physical_health_interview,mental_health_interview,mental_health_career_impact,coworkers_perception_of_mental_health,share_mental_illness_loved_ones,current_or_previous_employment_unsupportive_response_mental_health,current_employment_less_likely_to_reveal_mental_health_issue,family_history_mental_health,past_history_mental_health,current_MH_disorder,at_any_point_diagnosed_MH_disorder,treatment_MH_disorder,interference_with_work_with_effective_treatment,interference_with_work_NOT_effective_treatment,gender,continent_residence,continent_work,work_position,remote_work,age_group
6-25,Yes,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,I don't know,No,Yes,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Missing,Yes,Yes,Maybe,Yes,Yes,Rarely,Sometimes,Male,North America,North America,DevOps/SysAdmin|Back-end Developer,Sometimes,40-49
500-1000,Yes,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Missing,Yes,No,Maybe,No,No,Rarely,Rarely,Male,Europe,Europe,Supervisor/Team Lead|Back-end Developer|DevOps/SysAdmin|Dev Evangelist/Advocate,Sometimes,30-39
26-100,Yes,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Missing,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,Female,North America,North America,Designer,Sometimes,20-29
26-100,No,No,Yes,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,Maybe,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Yes,Rarely,Often,Female,Europe,Europe,Back-end Developer|Front-end Developer,Sometimes,20-29
1-5,No,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe,Yes,No,I don't know,No,Yes,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",No,I don't know,Maybe,Maybe,No,Yes,Not applicable to me,Often,Female,North America,North America,Other,Sometimes,30-39
100-500,Yes,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,Maybe,Maybe,"No, I don't think they would",Very open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Front-end Developer,Sometimes,30-39
26-100,Yes,Yes,No,No,No,No,Somewhat easy,Maybe,No,No,Maybe,Yes,No,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Female,North America,North America,Other,Sometimes,40-49
More than 1000,No,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,Maybe,I don't know,No,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,Missing,I don't know,Yes,Maybe,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Back-end Developer,Sometimes,40-49
6-25,Yes,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,Yes,Some did,I was aware of some,Some did,Some did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,I don't know,Yes,Maybe,Yes,Yes,Rarely,Often,Male,North America,North America,Back-end Developer|Front-end Developer,Sometimes,40-49
500-1000,Yes,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,Yes,Never,Sometimes,Male,North America,North America,Back-end Developer,Sometimes,30-39
More than 1000,No,Yes,No,No,Yes,Yes,I don't know,Maybe,No,Maybe,Yes,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would",Maybe,Neutral,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,Yes,Rarely,Rarely,Male,North America,North America,Back-end Developer,Sometimes,30-39
More than 1000,Yes,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer|Front-end Developer,Sometimes,30-39
More than 1000,No,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No,No,Maybe,I don't know,No,Yes,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,DevOps/SysAdmin,Sometimes,30-39
26-100,Yes,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,Maybe,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,None did,None of them,Maybe,No,Maybe,Maybe,Neutral,No,Missing,No,No,Maybe,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Front-end Developer,Sometimes,30-39
26-100,Yes,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Other,Always,30-39
100-500,Yes,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,Yes,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Yes,Yes,Yes,Rarely,Sometimes,Female,North America,North America,Other,Sometimes,20-29
100-500,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,Yes,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Back-end Developer,Sometimes,30-39
1-5,Yes,No,Yes,No,No,No,Very difficult,Maybe,Maybe,No,No,I don't know,No,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Other/Non-Binary,North America,North America,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always,40-49
26-100,Yes,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,I don't know,No,No,No,No,Not applicable to me,Not applicable to me,Female,North America,North America,Supervisor/Team Lead|Front-end Developer,Sometimes,20-29
500-1000,Yes,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,Yes,Yes,Sometimes,Sometimes,Female,North America,North America,Front-end Developer,Always,30-39
26-100,Yes,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Missing,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Male,Europe,Europe,Front-end Developer,Never,20-29
26-100,Yes,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No,No,Yes,Yes,No,Yes,Some did,N/A (not currently aware),None did,Some did,No,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,No,Missing,I don't know,Yes,Yes,Yes,Yes,Rarely,Often,Female,North America,North America,Supervisor/Team Lead,Sometimes,30-39
26-100,Yes,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,Yes,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",Missing,No,Yes,Yes,Yes,Yes,Rarely,Often,Male,North America,North America,Other|Back-end Developer|Front-end Developer|Designer,Sometimes,30-39
6-25,Yes,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,No,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,Missing,No,No,No,No,Yes,Never,Often,Male,North America,North America,Executive Leadership|DevOps/SysAdmin|Back-end Developer,Sometimes,40-49
6-25,Yes,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Yes,Yes,Yes,No,Yes,Some did,I was aware of some,None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,"No, I don't think it would",Maybe,Very open,"Yes, I experienced",No,Yes,Yes,No,Yes,No,Sometimes,Sometimes,Other/Non-Binary,North America,North America,Front-end Developer,Sometimes,30-39
More than 1000,Yes,No,Missing,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,Yes,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Other,Sometimes,40-49
More than 1000,No,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,Missing,No,Yes,Yes,Yes,Yes,Never,Sometimes,Male,North America,North America,Supervisor/Team Lead,Sometimes,40-49
100-500,Yes,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,Yes,I don't know,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Missing,Yes,Maybe,Maybe,No,Yes,Not applicable to me,Sometimes,Male,North America,North America,Back-end Developer,Always,30-39
26-100,Yes,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,Yes,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,No,Missing,I don't know,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer,Always,20-29
100-500,Yes,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Not open at all,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Other,Never,30-39
26-100,Yes,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,Yes,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,"Yes, it has","No, I don't think they would",Neutral,Maybe/Not sure,Missing,I don't know,Yes,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Dev Evangelist/Advocate|Support,Sometimes,30-39
More than 1000,No,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Missing,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Supervisor/Team Lead|Front-end Developer|Back-end Developer|DevOps/SysAdmin,Always,40-49
500-1000,Yes,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,Some did,"No, I only became aware later",Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, I think it would",Maybe,Neutral,No,Missing,No,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Support,Sometimes,20-29
6-25,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Executive Leadership,Sometimes,20-29
More than 1000,No,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Maybe,No,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Back-end Developer,Never,40-49
100-500,Yes,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Missing,No,Yes,Yes,No,No,Rarely,Often,Female,North America,North America,Executive Leadership,Sometimes,40-49
More than 1000,No,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe,No,No,Yes,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Missing,I don't know,No,No,No,Yes,Not applicable to me,Not applicable to me,Female,North America,North America,HR,Never,50-59
More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,Yes,"No, none did",I was aware of some,I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Dev Evangelist/Advocate,Never,20-29
More than 1000,No,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,Yes,No,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Supervisor/Team Lead,Never,30-39
More than 1000,No,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe,Maybe,Yes,I don't know,No,Yes,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Missing,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Female,Europe,Europe,Front-end Developer,Sometimes,30-39
More than 1000,No,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,No,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat not open,No,Missing,I don't know,No,Maybe,No,No,Not applicable to me,Sometimes,Male,Europe,Europe,Back-end Developer,Never,40-49
More than 1000,No,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,Yes,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,Maybe,No,No,Not applicable to me,Sometimes,Male,Europe,Europe,Other,Sometimes,30-39
26-100,Yes,No,I am not sure,No,No,No,Somewhat easy,Maybe,Maybe,Yes,Maybe,No,No,Yes,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,No,No,Sometimes,Sometimes,Male,Europe,Europe,Front-end Developer,Never,20-29
100-500,Yes,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Front-end Developer|Back-end Developer,Always,30-39
6-25,Yes,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Yes,Some did,I was aware of some,None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,No,No,Yes,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer,Always,30-39
More than 1000,No,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,No,No,Yes,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Missing,I don't know,Maybe,Maybe,No,No,Not applicable to me,Sometimes,Male,North America,North America,Back-end Developer|Front-end Developer,Sometimes,40-49
6-25,Yes,No,Missing,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No,Yes,"No, none did",I was aware of some,None did,None did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Front-end Developer,Never,20-29
26-100,Yes,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Front-end Developer,Sometimes,20-29
26-100,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No,Yes,Some did,"No, I only became aware later",None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Front-end Developer,Sometimes,20-29
26-100,Yes,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,Yes,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,Yes,Rarely,Often,Female,North America,North America,Back-end Developer,Always,40-49
6-25,Yes,No,Missing,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Yes,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,None did,Some of them,Yes,Yes,Maybe,Maybe,Neutral,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Other,Sometimes,30-39
100-500,Yes,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,Maybe,"No, it has not","No, they do not",Very open,No,Missing,Yes,Maybe,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Dev Evangelist/Advocate|Back-end Developer|Support,Always,20-29
6-25,Yes,No,Missing,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,Missing,I don't know,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Back-end Developer|DevOps/SysAdmin,Sometimes,30-39
100-500,Yes,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,DevOps/SysAdmin,Never,30-39
1-5,Yes,Not eligible for coverage / N/A,Missing,Yes,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,"Yes, always",Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Maybe,Yes,Yes,Never,Often,Other/Non-Binary,Europe,Europe,Executive Leadership|DevOps/SysAdmin|Back-end Developer|Support,Sometimes,20-29
500-1000,Yes,No,No,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Missing,Yes,No,No,No,Yes,Rarely,Sometimes,Male,Europe,Europe,Back-end Developer,Never,20-29
26-100,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,Yes,Rarely,Often,Male,North America,North America,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never,40-49
1-5,Yes,No,No,No,No,No,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,I don't know,N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Back-end Developer|DevOps/SysAdmin,Sometimes,20-29
100-500,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Yes,I don't know,N/A (not currently aware),I don't know,"Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, they do not",Somewhat open,No,Missing,I don't know,Yes,Yes,Yes,Yes,Sometimes,Often,Male,North America,North America,Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Sometimes,30-39
